from_idx,to_idx,from,to,distance,duration,dest_closeTime
1,48,"Witolda 39A, 81-531 Gdynia, Poland","Świętokrzyska 22, 80-180 Gdańsk, Poland",26893.0,1686.0,2021-11-27 16:00:00
1,49,"Witolda 39A, 81-531 Gdynia, Poland","Niepołomicka 32, 80-001 Gdańsk, Poland",28489.0,1907.0,2021-11-27 16:00:00
1,50,"Witolda 39A, 81-531 Gdynia, Poland","Władysława IV 24, 81-384 Gdynia, Poland",6329.0,731.0,
2,0,"Wielkopolska 260, 81-531 Gdynia, Poland","Witolda 17, 81-532 Gdynia, Poland",1395.0,210.0,2021-11-27 16:00:00
2,1,"Wielkopolska 260, 81-531 Gdynia, Poland","Witolda 39A, 81-531 Gdynia, Poland",1811.0,255.0,2021-11-27 16:00:00
2,3,"Wielkopolska 260, 81-531 Gdynia, Poland","Korzenna 16a, 81-587 Gdynia, Poland",914.0,153.0,2021-11-27 16:00:00
2,4,"Wielkopolska 260, 81-531 Gdynia, Poland","Wiczlińska 4, 81-578 Gdynia, Poland",2660.0,341.0,2021-11-27 16:00:00
2,5,"Wielkopolska 260, 81-531 Gdynia, Poland","Starowiejska 40C, 81-363 Gdynia, Poland",7019.0,747.0,2021-11-27 16:00:00
2,6,"Wielkopolska 260, 81-531 Gdynia, Poland","10 Lutego 7, 81-366 Gdynia, Poland",6731.0,724.0,2021-11-27 16:00:00
2,7,"Wielkopolska 260, 81-531 Gdynia, Poland","Antoniego Abrahama 46 A-B, 81-395 Gdynia, Poland",6320.0,664.0,2021-11-27 16:00:00
2,9,"Wielkopolska 260, 81-531 Gdynia, Poland","Świętojańska 75, 81-389 Gdynia, Poland",6175.0,657.0,2021-11-27 16:00:00
2,10,"Wielkopolska 260, 81-531 Gdynia, Poland","Ignacego Krasickiego 45, 81-377 Gdynia, Poland",6255.0,718.0,2021-11-27 16:00:00
2,11,"Wielkopolska 260, 81-531 Gdynia, Poland","Augustyna Necla 5, 81-377 Gdynia, Poland",6331.0,764.0,2021-11-27 16:00:00
2,12,"Wielkopolska 260, 81-531 Gdynia, Poland","Batalionów Chłopskich 24, 81-415 Gdynia, Poland",4551.0,553.0,2021-11-27 16:00:00
2,13,"Wielkopolska 260, 81-531 Gdynia, Poland","Łużycka 3, 81-537 Gdynia, Poland",4173.0,505.0,2021-11-27 16:00:00
2,14,"Wielkopolska 260, 81-531 Gdynia, Poland","Łużycka 3A, 81-472 Gdynia, Poland",4362.0,526.0,2021-11-27 16:00:00
2,15,"Wielkopolska 260, 81-531 Gdynia, Poland","plac Górnośląski 4a, 81-509 Gdynia, Poland",2312.0,285.0,2021-11-27 16:00:00
2,16,"Wielkopolska 260, 81-531 Gdynia, Poland","aleja Zwycięstwa 238, 81-525 Gdynia, Poland",3651.0,431.0,2021-11-27 16:00:00
2,17,"Wielkopolska 260, 81-531 Gdynia, Poland","Aleja Niepodległości 899, Sopot, Poland",6071.0,743.0,2021-11-27 17:00:00
2,18,"Wielkopolska 260, 81-531 Gdynia, Poland","Aleja Niepodległości 938, 81-855 Sopot, Poland",5931.0,658.0,2021-11-27 16:00:00
2,19,"Wielkopolska 260, 81-531 Gdynia, Poland","Jana Jerzego Haffnera 59, 81-715 Sopot, Poland",6895.0,750.0,2021-11-27 16:00:00
2,21,"Wielkopolska 260, 81-531 Gdynia, Poland","Jana Jerzego Haffnera 42, 81-707 Sopot, Poland",7299.0,822.0,2021-11-27 16:00:00
2,22,"Wielkopolska 260, 81-531 Gdynia, Poland","Michała Drzymały 9, 81-771 Sopot, Poland",8612.0,1103.0,2021-11-27 16:00:00
2,23,"Wielkopolska 260, 81-531 Gdynia, Poland","Księcia Józefa Poniatowskiego 2, 81-724 Sopot, Poland",8358.0,985.0,2021-11-27 16:00:00
2,24,"Wielkopolska 260, 81-531 Gdynia, Poland","Bitwy pod Płowcami 54, 81-731 Sopot, Poland",8716.0,982.0,2021-11-27 16:00:00
2,25,"Wielkopolska 260, 81-531 Gdynia, Poland","Tadeusza Kościuszki 27, 80-445 Gdańsk, Poland",14455.0,1528.0,2021-11-27 16:00:00
2,26,"Wielkopolska 260, 81-531 Gdynia, Poland","Jana Kilińskiego 9, 80-452 Gdańsk, Poland",14581.0,1575.0,2021-11-27 16:00:00
2,27,"Wielkopolska 260, 81-531 Gdynia, Poland","Danusi 4C, 80-434 Gdańsk, Poland",15577.0,1645.0,2021-11-27 16:00:00
2,28,"Wielkopolska 260, 81-531 Gdynia, Poland","Stanisława Wyspiańskiego 20, 80-434 Gdańsk, Poland",15407.0,1608.0,2021-11-27 16:00:00
2,29,"Wielkopolska 260, 81-531 Gdynia, Poland","aleja Grunwaldzka 49, 80-241 Gdańsk, Poland",15215.0,1608.0,2021-11-27 16:00:00
2,30,"Wielkopolska 260, 81-531 Gdynia, Poland","aleja Grunwaldzka 56, 80-241 Gdańsk, Poland",14761.0,1498.0,2021-11-27 16:00:00
2,31,"Wielkopolska 260, 81-531 Gdynia, Poland","aleja Grunwaldzka 12, 80-236 Gdańsk, Poland",15236.0,1550.0,2021-11-27 18:00:00
2,32,"Wielkopolska 260, 81-531 Gdynia, Poland","Budynek Działu Gospodarczego Wirtualna Polska, Traugutta 115c, 80-226 Gdańsk, Poland",15824.0,1700.0,2021-11-27 16:00:00
2,33,"Wielkopolska 260, 81-531 Gdynia, Poland","Do Studzienki 65, 80-227 Gdańsk, Poland",15868.0,1693.0,2021-11-27 16:00:00
2,34,"Wielkopolska 260, 81-531 Gdynia, Poland","Beethovena 24, 80-171 Gdańsk, Poland",27620.0,1749.0,2021-11-27 17:00:00
2,35,"Wielkopolska 260, 81-531 Gdynia, Poland","Kartuska 187, 80-122 Gdańsk, Poland",25818.0,1553.0,2021-11-27 16:00:00
2,36,"Wielkopolska 260, 81-531 Gdynia, Poland","Jacka Malczewskiego 103, 80-112 Gdańsk, Poland",27091.0,1747.0,2021-11-27 16:00:00
2,37,"Wielkopolska 260, 81-531 Gdynia, Poland","Stoczniowców 35, 80-812 Gdańsk, Poland",26937.0,1650.0,2021-11-27 16:00:00
